"id","company","store","content","at","score","sentimento","usedText"
42440,"bb","apple","Instalei o App 2x e apresenta erro ao abrir a conta. Não funciona",2023-08-08 01:10:00,5,"0","instalei app x apresenta erro abrir conta não funciona"
42441,"bb","apple","Faz um mês que não abre app, atualizei, instalei novamente e nada 😡😡😡.",2023-12-03 12:01:16,1,"0","faz mês não abr app atualizei instalei novament nada 😡😡😡"
42442,"bb","apple","Após a atualização feita nesse final de semana, 18/11/2023, app sequer abre. Lendo as observações do desenvolvedor foi mencionado a versão do IOS, por aqui está atualizado, ainda assim o problema persiste.",2023-11-20 03:09:46,1,"0","apó atualização feita ness final semana app sequer abr lendo observaçõ desenvolvedor mencionado versão io aqui atualizado ainda assim problema persist"
42443,"bb","apple","O Banco do Brasil e seu App são péssimos. Não tem jeito. Meu conselho: fechem a conta e abram outra em qualquer outro banco comercial. Quem é funcionário público e não pode fechar a conta, tirem todo o dinheiro daí .",2023-10-08 12:19:33,1,"0","banco brasil app péssimo não jeito conselho fechem conta abram outra qualquer outro banco comerci é funcionário público não pode fechar conta tirem todo dinheiro daí"
42444,"bb","apple","A funcionalidade de extrato multibanco não está funcionando com a caixa econômica. Não atualiza desde abril",2023-07-06 01:12:20,4,"2","funcionalidad extrato multibanco não funcionando caixa econômica não atualiza desd abril"
42445,"bb","apple","Se tivesse como dar menos estrela eu daria,aplicativo péssimo,não consigo concluir nenhuma transação na hora,trava toda hora,fica mais fora do ar do que funcionando!",2023-08-07 13:16:00,1,"0","dar meno estrela dariaaplicativo péssimonão consigo concluir nenhuma transação horatrava toda horafica ar funcionando"
42446,"bb","apple","Eu não quero as fotos na tela de login, mas toda vez que atualiza o App as fotos voltam a ser apresentadas e tenho que ir novamente cancelar. Muito chato!",2023-05-06 00:19:57,4,"0","não quero foto tela login toda vez atualiza app foto voltam ser apresentada ir novament cancelar chato"
42447,"bb","apple","Não entendo as transações nunca são notificadas, nem de um simples pix. Qualquer app tem notificação menos o BB.",2023-06-19 17:35:11,1,"0","não entendo transaçõ nunca notificada nem simpl pix qualquer app notificação meno bb"
42448,"bb","apple","Sistema lento, muitas vezes dando erro e tendo que repetir várias vezes as operações.",2023-05-11 10:35:47,2,"0","sistema lento muita veze dando erro tendo repetir vária veze operaçõ"
42449,"bb","apple","Será que é pedir demais ter um aplicativo de banco que vc não precise tentar 10 vezes pra conseguir concluir um PIX sem dar erro???! Pelo amor de Deus… Vou ter que mudar de banco desse jeito…",2023-04-27 20:29:40,1,"0","é pedir demai ter aplicativo banco vc não precis tentar veze pra conseguir concluir pix dar erro amor deus… vou ter mudar banco dess jeito…"
