"id","company","store","content","at","score","sentimento","usedText"
60654,"bb","google","O aplicativo é muito bom. Resolve a maioria das necessidades do usuário. Contudo, para algumas funcionalidades, não existe opção de compartilhamento de arquivos. O cliente precisa, para determinadas consultas, printar a tela para compartilhar o respectivo arquivo. O desenvolvedor, por sua vez, é muito solícito em atender às demandas enviadas pelo usuário.",2023-11-06 14:27:55,4,"2","aplicativo é bom resolv maioria necessidad usuário contudo alguma funcionalidad não exist opção compartilhamento arquivo client precisa determinada consulta printar tela compartilhar respectivo arquivo desenvolvedor vez é solícito atend demanda enviada usuário"
60655,"bb","google","Há mais de um mês que só vive bugado! É um tal de ""Aconteceu um problema de conexão com o nosso app, tente mais tarde..."" Atualização em cima de Atualização e nada de solução. E tem mais... se você não fizer a operação rapidamente simplesmente dá erro. E não falo em esperar muito tempo não. É coisa de segundos, Vou dar duas estrelas pelas funcionalidades disponíveis, mas esses sucessivos erros, deixando os clientes na mão sempre tá demais!",2023-11-09 14:00:31,2,"0","mês vive bugado é tal aconteceu problema conexão app tent tard atualização cima atualização nada solução não fizer operação rapidament simplesment dá erro não falo esperar tempo não é coisa segundo vou dar dua estrela funcionalidad disponívei sucessivo erro deixando client mão sempr tá demai"
60656,"bb","google","Minhas impressões - O app tem um efeito surpresa: as vezes o extrato no aplicativo mostra um valor e no site outro. É legal para manter a adrenalina em alta. - Alterar limites é uma verdadeira odisseia. Recomendável para quem tem paciência e não se incomoda com mensagens de erro - Logar com BB Code? Boa sorte! Depois de 10 tentativas pode ser que funcione. - Chato Bot: o chat é péssimo, não envia notificação, apaga todo histórico sempre e você precisa digitar sempre tudo de novo. Enfim, pessimo",2023-12-15 03:00:58,1,"0","impressõ app efeito surpresa veze extrato aplicativo mostra valor site outro é legal manter adrenalina alta alterar limit é verdadeira odisseia recomendável paciência não incomoda mensagen erro logar bb code boa sort tentativa pode ser funcion chato bot chat é péssimo não envia notificação apaga todo histórico sempr precisa digitar sempr tudo novo enfim pessimo"
60657,"bb","google","App muito pesado, demora muito pra abrir. Se for pagar com PIX então, leva pelo menos uns 5 minutos. É inviável! Já foi bem melhor, mais leve. Até hoje não disponibilizaram o ajuste do limite do cartão adicional. Se eu viajo ao exterior sem um notebook, não tem como eu ajustar o limite. Inacreditável essa limitação do App, ou da mentalidade do BB...",2023-10-31 09:37:58,1,"0","app pesado demora pra abrir pagar pix então leva meno un minuto é inviável bem melhor leve hoje não disponibilizaram ajust limit cartão adicion viajo exterior notebook não ajustar limit inacreditável limitação app mentalidad bb"
60658,"bb","google","Aplicativo apresenta muitos legs. Está praticamente impossível contar com a celeridade do app. Lento pra logar, lento pra abrir área pix, lento pra carregar todo o layout inicial e pode acompanhar os gastos. Enfim, o app já me deixou na mão em situações de pagamento por não funcionar e viver carregando... O mesmo ocorre no app do meu esposo. Está péssimo.",2023-12-19 23:25:38,1,"0","aplicativo apresenta muito leg praticament impossível contar celeridad app lento pra logar lento pra abrir área pix lento pra carregar todo layout inici pode acompanhar gasto enfim app deixou mão situaçõ pagamento não funcionar viver carregando ocorr app esposo péssimo"
60659,"bb","google","A nova atualização ficou ótima! A antiga eu detestava. Só que de uns tempos pra cá (meses após a atualização) o app voltou a fixar pesado e lento, e como não só eu tenho o app em casa, vejo que não é culpa do aparelho. Em diferentes conexões de Internet, ide.. Melhorem a fluidez do app, pq se não temos que utilizar apps mais práticos pra coisas do dia a dia, o que impede concentrar a movimentação bancária no BB por ser mais bugado. O app tem muita variedade e é maravilhoso, peca por ser pesado.",2023-12-11 23:34:15,4,"0","nova atualização ficou ótima antiga detestava un tempo pra cá mese apó atualização app voltou fixar pesado lento não app casa vejo não é culpa aparelho diferent conexõ internet ide melhorem fluidez app pq não utilizar app prático pra coisa dia dia imped concentrar movimentação bancária bb ser bugado app muita variedad é maravilhoso peca ser pesado"
60660,"bb","google","Atualizou recentemente e parou de funcionar. O aplicativo sequer abre. Apenas mostra uma mensagem do sistema afirmando que falhou para abrir. Quando tento novamente, o Android mostra que o APP falhou continuamente. Já limpei o cache do aplicativo e os dados e reinstalei o APP novamente. Após isso, reiniciei o aparelho. O erro ocorre em 3 celulares distintos com Android. O que fazer? Nota: O suporte respondeu. Mandaram fazer o que eu já tinha escrito acima. Ao menos deram contato.",2023-12-21 14:49:03,2,"0","atualizou recentement parou funcionar aplicativo sequer abr apena mostra mensagem sistema afirmando falhou abrir tento novament android mostra app falhou continuament limpei cach aplicativo dado reinstalei app novament apó reiniciei aparelho erro ocorr celular distinto android fazer nota suport respondeu mandaram fazer escrito acima meno deram contato"
60661,"bb","google","O app até funciona bem, apesar de ser uma tarefa burocrática até fazer um simples Pix, conferir o extrato por período então é uma novela. Mas tem uma coisa que me incomoda muito é o fato de eu não conseguir habilitar de jeito nenhum as notificações, seja de Pix, transferências, ofertas, etc. Tem a opção e é fácil de encontrar, mas clico, carrega, carrega e não habilita, mesmo reinstalando o aplicativo. Meu celular é um Motorola Edge 20.",2023-11-17 20:33:00,2,"0","app funciona bem apesar ser tarefa burocrática fazer simpl pix conferir extrato período então é novela coisa incomoda é fato não conseguir habilitar jeito nenhum notificaçõ pix transferência oferta etc opção é fácil encontrar clico carrega carrega não habilita reinstalando aplicativo celular é motorola edg"
60662,"bb","google","Nossa senhora da bicicletinha, daí me equilíbrio para aguentar tanta propaganda, toda vez que abre o aplicativo. Não tem como usar ele de forma objetiva! Eu abro e começa pop-up da poupex, previdência privada, empréstimo, etc. Se você está com pressa para entrar fazer algo e sair, isso é IMPOSSÍVEL!!! Não é a demora para abrir, nem instabilidade. São só as infinitas propagandas uma atrás da outra e nenhuma opção para desligá-las.",2023-11-30 10:02:30,2,"0","senhora bicicletinha daí equilíbrio aguentar tanta propaganda toda vez abr aplicativo não usar forma objetiva abro começa popup poupex previdência privada empréstimo etc pressa entrar fazer algo sair é impossível não é demora abrir nem instabilidad infinita propaganda atrá outra nenhuma opção desligála"
60663,"bb","google","Gostaria de sugerir aos desenvolvedores do app que melhore a parte do cartão de crédito. Acho muito ruim pois toda virada de fatura, os parcelamentos demoram muito para aparecer na próxima fatura e vão aparecendo de pouco em pouco. Isso é péssimo pois me perco. Tenho que fazer um controle por fora para saber a real situação da minha fatura. Sigam o exemplo do nubank, pois todo parcelamento é exibido na hora até o fim dele e te dá uma previsão de quando acaba. Fica aqui a sugestão de melhoria.",2023-10-29 10:11:42,2,"0","gostaria sugerir desenvolvedor app melhor part cartão crédito acho ruim poi toda virada fatura parcelamento demoram aparec próxima fatura vão aparecendo pouco pouco é péssimo poi perco fazer control saber real situação fatura sigam exemplo nubank poi todo parcelamento é exibido hora fim dá previsão acaba fica aqui sugestão melhoria"
