"id","company","store","content","at","score","sentimento","usedText"
45844,"itau","apple","Depois da atualização, não consigo mais logar no APP do Itaú. Sempre da erro… o que mudaram ???",2023-08-04 22:45:53,1,"0","atualização não consigo logar app itaú sempr erro… mudaram"
45845,"itau","apple","Depois da nova atualização o APP ficou muito lento! Horrível. Demorando muito para entrar na conta.",2023-12-19 01:29:10,2,"0","nova atualização app ficou lento horrível demorando entrar conta"
45846,"itau","apple","Estão pegando meu salário de aposentadoria em taxas.",2023-01-03 03:54:10,1,"2","pegando salário aposentadoria taxa"
45847,"itau","apple","Não consigo recuperar minha senha eletrônica e não consigo habilitar o itoken.",2023-12-27 14:40:21,1,"0","não consigo recuperar senha eletrônica não consigo habilitar itoken"
45848,"itau","apple","Quero ma manifestar veementemente a respeito da atualização do aplicativo. Este tornou-se muito ruim a navegação … com travamento .. demora na abertura e com muito pouca produtividade. Ficou muito ruim além de lento . Espero que estejam fazendo alguma coisa para melhorar o que está muito ruim .",2023-12-26 14:38:03,1,"0","quero ma manifestar veementement respeito atualização aplicativo tornous ruim navegação … travamento demora abertura pouca produtividad ficou ruim além lento espero fazendo alguma coisa melhorar ruim"
45849,"itau","apple","Acima",2023-12-26 00:16:30,1,"2","acima"
45850,"itau","apple","Mudei pro cartão Itaú porque tinha algumas vantagens em relação ao meu anterior, mas arrependi só pelo aplicativo. Não atualizar a fatura em tempo real é simplesmente uma experiência horrível! Demora vários dias pra atualizar as compras recentes.",2023-12-24 20:04:54,1,"0","mudei pro cartão itaú porqu alguma vantagen relação anterior arrependi aplicativo não atualizar fatura tempo real é simplesment experiência horrível demora vário dia pra atualizar compra recent"
45851,"itau","apple","Cada vez que atualizam, sinto como se estivesse decifrando um novo quebra-cabeça. Mexer nas configurações está virando um desafio!",2023-12-16 11:32:37,1,"2","cada vez atualizam sinto decifrando novo quebracabeça mexer configuraçõ virando desafio"
45852,"itau","apple","Não ficou legal essa tela azul estou odiando rs",2023-12-12 17:31:16,2,"2","não ficou legal tela azul odiando rs"
45853,"itau","apple","Estragaram um aplicativo que era muito bom agora visualmente é o pior aplicativo que já usei",2023-12-13 03:36:19,1,"2","estragaram aplicativo bom agora visualment é pior aplicativo usei"
45854,"itau","apple","Eu tinha tudo na primeira tela sem precisar dar muitos clics! Agora tudo muito confuso e a poupança, que uso muito, não está disponível no atalho!
Pra quê mexer no que estava bom!!",2023-12-13 02:16:38,1,"2","tudo primeira tela precisar dar muito clic agora tudo confuso poupança uso não disponível atalho pra quê mexer bom"
45855,"itau","apple","Nova interface está muito ruim!",2023-12-13 01:39:01,1,"2","nova interfac ruim"
45856,"itau","apple","Aplicativo era simples e fácil de usar, interface leve de carregar usando dados móveis. Depois da atualização demora uma vida para carregar. Ficou horrível demais, voltem o que era antes. Aplicativo está cheio de papagaiada !!!!",2023-12-13 01:34:49,1,"0","aplicativo simpl fácil usar interfac leve carregar usando dado móvei atualização demora vida carregar ficou horrível demai voltem ant aplicativo cheio papagaiada"
45857,"itau","apple","Antigamente amava o aplicativo, mas agora está tudo confuso ! Essa cor azul horrível, o layout da c/c muito desorganizado ! Não sei pra que foram o formato anterior. 
Espero que retornem.",2023-12-13 00:47:37,1,"2","antigament amava aplicativo agora tudo confuso cor azul horrível layout cc desorganizado não sei pra formato anterior espero retornem"
45858,"itau","apple","Tela inicial confusa, esse tom de cor azul é de gosto péssimo para deixar na tela toda.",2023-12-12 23:54:15,1,"2","tela inici confusa tom cor azul é gosto péssimo deixar tela toda"
45859,"itau","apple","Esse novo ajustes horríveis , muito confuso .
Melhorem isso ou deixa no antigo mesmo",2023-12-12 21:43:24,1,"2","novo ajust horrívei confuso melhorem deixa antigo"
45860,"itau","apple","Essa atualização quebrou… precisava melhorar, não piorar",2023-12-12 20:55:56,1,"2","atualização quebrou… precisava melhorar não piorar"
45861,"itau","apple","App ficou extremamente lento, não é mais tão fácil de navegar",2023-12-12 19:44:02,1,"2","app ficou extremament lento não é tão fácil navegar"
45862,"itau","apple","Essa nova atualização tá horrível, não consigo nem digitar antes que apareça outra página, não existe mais atendentes virtuais para as dúvidas, somente p negociações, de todas as atualizações essa foi a pior, tá bem ruim Itaú, melhore.",2023-12-12 16:13:42,1,"0","nova atualização tá horrível não consigo nem digitar ant apareça outra página não exist atendent virtuai dúvida soment p negociaçõ toda atualizaçõ pior tá bem ruim itaú melhor"
45863,"itau","apple","Metade da tela agora, o que está mais em foco, é de anúncio. O foco deveria ser nossa conta, saldo, cartão… Mas é um anúncio oferecendo bike Itaú.",2023-12-12 11:16:26,1,"0","metad tela agora foco é anúncio foco deveria ser conta saldo cartão… é anúncio oferecendo bike itaú"
45864,"itau","apple","O time de UI/UX realmente vai insistir no tom de azul no fundo que a maioria das pessoas não gostaram pq prejudica a leitura? Não é a toa que as pessoas migram para outros bancos, a atualização deixou o app ruim demais.",2023-12-11 13:29:12,1,"0","time uiux realment vai insistir tom azul fundo maioria pessoa não gostaram pq prejudica leitura não é toa pessoa migram outro banco atualização deixou app ruim demai"
45865,"itau","apple","Essa nova home está simplesmente horrível em questão de cor e acesso tudo que você clica ela leva para uma nova pasta o simples saldo que quero ver da poupança leva pra uma tela e o celular frita pra processar tudo que está acontecendo. Por favor repensem em voltar o antigo eu suplico",2023-12-09 23:48:32,1,"0","nova home simplesment horrível questão cor acesso tudo clica leva nova pasta simpl saldo quero ver poupança leva pra tela celular frita pra processar tudo acontecendo favor repensem voltar antigo suplico"
45866,"itau","apple","Em dez2023 parou de funcionar no iOS 12.5.7. Abre e fecha infinitamente. Por favor arrumem esse bug.",2023-12-04 15:06:00,1,"0","dez parou funcionar io abr fecha infinitament favor arrumem bug"
45867,"itau","apple","Apos a atualizacao do APP nao consigo mais usar o aplicativo.
Aplicativo ao abrir fecha imediatamente.
iPhone 6 v12.5.7",2023-11-29 18:50:30,1,"0","apo atualizacao app nao consigo usar aplicativo aplicativo abrir fecha imediatament iphon v"
45868,"itau","apple","Não roda de jeito nenhum no iphone 6, você consegue baixar o aplicativo e ele simplesmente não abre no celular, por favor arrumem isso logo preciso movimentar a minha conta!",2023-11-26 15:03:49,1,"0","não roda jeito nenhum iphon consegu baixar aplicativo simplesment não abr celular favor arrumem logo preciso movimentar conta"
45869,"itau","apple","O app do Itaú abre e fecha automaticamente no meu iPhone 13 na versão iOS 17.2. Já tentei desinstalar e instalar várias vezes mas i problema persiste.",2023-11-14 01:42:52,1,"0","app itaú abr fecha automaticament iphon versão io tentei desinstalar instalar vária veze i problema persist"
45870,"itau","apple","Não consigo acessar minha conta na atualização antiga e nessa atual esta da mesma forma, assim que está carregando o aplicativo fecha.",2023-10-30 17:10:23,1,"0","não consigo acessar conta atualização antiga nessa atual mesma forma assim carregando aplicativo fecha"
45871,"itau","apple","Dias sem conseguir acessar minha conta",2023-10-30 15:07:21,1,"2","dia conseguir acessar conta"
45872,"itau","apple","APP desde as duas últimas atualizações não está abrindo. APP uniclass",2023-10-26 15:53:59,5,"2","app desd dua última atualizaçõ não abrindo app uniclass"
45873,"itau","apple","Depois da ultima atualização o meu aplicativo do banco não entra mais, eu acesso o aplicativo e depois de logar na minha conta, ele fecha o aplicativo!! Não aparece nenhuma mensagem, nem nada, só encerra o app. 

Já desinstalei e instalei novamente, mas continua com esse problema.",2023-10-27 18:52:19,2,"0","ultima atualização aplicativo banco não entra acesso aplicativo logar conta fecha aplicativo não aparec nenhuma mensagem nem nada encerra app desinstalei instalei novament continua problema"
45874,"itau","apple","Não estou conseguindo abrir o app após a atualização. Insiro agência e conta e o app fecha.",2023-10-26 15:54:37,1,"0","não conseguindo abrir app apó atualização insiro agência conta app fecha"
45875,"itau","apple","O aplicativo está fechando sozinho antes de qualquer operação! Como arrumar isto? Onde ligar??? Obrigada. Renata weber fideles",2023-10-06 13:08:24,5,"2","aplicativo fechando sozinho ant qualquer operação arrumar ond ligar obrigada renata weber fidel"
45876,"itau","apple","O app do Itaú é péssimo! Estou há quase 1 mês sem conseguir acessar minha conta porque logo após colocar minha senha ele fecha sozinho, sem me dar tempo de clicar em nada. Não consigo fazer nenhuma operação há quase 1 mês em nenhum canal a não ser que eu vá até uma agência física enfrentar fila de banco, é pré-histórico! Já fiz diversas reclamações com o suporte digital do Itaú e ninguém resolveu! Meu iPhone é o 13, super novo, totalmente atualizado, não tem motivo pra isso. Um absurdo total!",2023-10-26 01:52:47,1,"0","app itaú é péssimo quas mês conseguir acessar conta porqu logo apó colocar senha fecha sozinho dar tempo clicar nada não consigo fazer nenhuma operação quas mês nenhum canal não ser vá agência física enfrentar fila banco é préhistórico fiz diversa reclamaçõ suport digit itaú ninguém resolveu iphon é super novo totalment atualizado não motivo pra absurdo total"
45877,"itau","apple","Depois da atualização o app fica fechado sozinho não deixa eu fazer nada. Já entrei em contato com banco e nada",2023-10-15 12:50:55,1,"0","atualização app fica fechado sozinho não deixa fazer nada entrei contato banco nada"
45878,"itau","apple","Não consigo acessar minha conta pelo App. Já instalei e desinstalei o App, mas não adianta. Coloco conta e agência, identifico o USUARIO e ele fecha",2023-10-14 17:50:23,1,"0","não consigo acessar conta app instalei desinstalei app não adianta coloco conta agência identifico usuario fecha"
45879,"itau","apple","Não consigo acessar minha conta faz 3 dias, ao colocar a senha o App carrega e fecha sozinho… complicado…",2023-10-14 04:55:45,1,"0","não consigo acessar conta faz dia colocar senha app carrega fecha sozinho… complicado…"
45880,"itau","apple","Acabei de atualizar para a última versão e o app parou de funcionar preciso pagar minhas contas e quando eu acesso minha conta ela entra em uma tela branca com um ícone laranja em fórmula de círculo que não para de carregar e não entra no app e não sai dessa tela",2023-08-05 00:04:31,5,"0","acabei atualizar última versão app parou funcionar preciso pagar conta acesso conta entra tela branca ícone laranja fórmula círculo não carregar não entra app não sai dessa tela"
45881,"itau","apple","Ficou péssimo o visual depois da última atualização. Parece azul bic o extrato até dói no olho. Parece app de buteco de esquina. Simplesmente horrível.",2023-09-27 14:54:24,1,"2","ficou péssimo visual última atualização parec azul bic extrato dói olho parec app buteco esquina simplesment horrível"
45882,"itau","apple","Olá boa noite, depois dessa ultima atualização, não apresenta mais a opção de desabilitar o pagamento por aproximação. (Minhas proteção) “contactless “.",2023-09-21 00:11:43,1,"2","olá boa noit dessa ultima atualização não apresenta opção desabilitar pagamento aproximação proteção “contactless “"
45883,"itau","apple","Nunca vi um app de banco tão ruim. Mesmo com IOS atualizado e o app não acusando nenhuma necessidade de atualização ele simplesmente não funciona. Após a tela de colocar a senha virtual ele cai em uma tela branca e simplesmente não funciona. Já desinstalei e reinstalei varias vezes e nada. Um inferno isso.",2023-09-15 18:05:41,1,"0","nunca vi app banco tão ruim io atualizado app não acusando nenhuma necessidad atualização simplesment não funciona apó tela colocar senha virtual cai tela branca simplesment não funciona desinstalei reinstalei varia veze nada inferno"
45884,"itau","apple","O App não deixa acessar minha conta, pois quando abro vai direto para cadastrar senha de acesso sendo que já cadastrei duas vezes e toda vez que saio e volto pro App é a mesma coisa",2023-09-14 04:49:20,1,"0","app não deixa acessar conta poi abro vai direto cadastrar senha acesso sendo cadastrei dua veze toda vez saio volto pro app é mesma coisa"
45885,"itau","apple","Vergonha alheia Itau… já cadastrei 100 vezes a senha Eletronica e quando vou acessar aparece para cadastrar a senha novamente… desisto vou continuar no meu banco digital!",2023-09-14 00:32:45,1,"0","vergonha alheia itau… cadastrei veze senha eletronica vou acessar aparec cadastrar senha novamente… desisto vou continuar banco digit"
45886,"itau","apple","Abro o App e digito a minha senha e quando aparece a tela inicial ela fica por 1 segundo e aparece uma tela branca com o ícone que está carregando algo, mas não carrega nada é a tela branca não sai. Já desinstalei e instalei de novo e continua a mesma coisa.",2023-08-08 15:59:06,3,"0","abro app digito senha aparec tela inici fica segundo aparec tela branca ícone carregando algo não carrega nada é tela branca não sai desinstalei instalei novo continua mesma coisa"
45887,"itau","apple","Bom dia. Atualizei agora esse app, 05/08/2023 e o aplicativo não quer abrir mais. Poderiam dar uma resposta sobre isso? Obrigado.",2023-08-05 12:43:57,1,"0","bom dia atualizei agora app aplicativo não quer abrir poderiam dar resposta sobr obrigado"
45888,"itau","apple","Não consigo entrar usar o aplicativo, faço o login e logo que entra na conta é direcionado para uma página em branco e assim continua sem evoluir.",2023-07-12 02:58:11,1,"0","não consigo entrar usar aplicativo faço login logo entra conta é direcionado página branco assim continua evoluir"
45889,"itau","apple","Uso apps da nubank, bradesco, bb, caixa e Itau. É impressionante como o app do Itaú consegue ser o pior, disparado. App pesado, pouco funcional, tem manutenção todo dia. Ux do usuário é ruim, zero dinamismo. Não é possivel que o dev do app nao seja uma prioridade pra um banco desse tamanho. Bora melhorar",2023-07-07 13:36:18,1,"0","uso app nubank bradesco bb caixa itau é impressionant app itaú consegu ser pior disparado app pesado pouco funcion manutenção todo dia ux usuário é ruim zero dinamismo não é possivel dev app nao prioridad pra banco dess tamanho bora melhorar"
45890,"itau","apple","Tem 3 dias que tô tentando entra no aplicativo e não consigo sempre que coloco agência e conta pede pra criar uma senha e eu faço aí manda um SMS pro meu celular pra confirmar até aí Ok eles manda msg falando que estava tudo pronto só fechar a janela e entra de novo. Porém sempre fica voltando pra página da agência e conta pra criar senha de novo  e não entra e  fica nessa palhaçada.",2023-06-24 11:42:02,1,"0","dia tô tentando entra aplicativo não consigo sempr coloco agência conta pede pra criar senha faço aí manda sms pro celular pra confirmar aí ok manda msg falando tudo pronto fechar janela entra novo porém sempr fica voltando pra página agência conta pra criar senha novo não entra fica nessa palhaçada"
45891,"itau","apple","Mensagem de existe outra sessão ativa aparecendo há dias. Já reinstalei!",2023-06-19 12:55:48,1,"0","mensagem exist outra sessão ativa aparecendo dia reinstalei"
45892,"itau","apple","Nesta última atualização, o serviço de DDA está menos intuitivo e não está atualizando quando fazemos o pagamento, continua com o débito à ser pago, o que não acontecia na versão anterior.",2023-02-04 15:17:12,5,"0","nesta última atualização serviço dda meno intuitivo não atualizando fazemo pagamento continua débito ser pago não acontecia versão anterior"
45893,"itau","apple","Caramba cara, o App inteiro é bugado, na área de login mostra mensagem de erro mas logo em seguida entra na conta, saber lidar com exception até um desenvolvedor Júnior consegue, não consigo acreditar que um banco com tanta grana não invista minimamente em desenvolvedores pro aplicativo deles. Pessima experiência, sempre me frustro quando tenho que usar o App. 

Outra crítica é esse design do app, o que é isso? Um App de banco ou um fórum de 2002? Eu em duas horas usando o figma consigo criar uma usabilidade melhor. 

Espero realmente que alguém que trabalho no aplicativo leia minha review e tente mudar as coisas, minha sugestão é criar o aplicativo do zero porque se já tem tanto bug assim nem refatoracao salva.

Nota 1 porque não tem como dar 0.",2023-05-11 21:49:19,1,"0","caramba cara app inteiro é bugado área login mostra mensagem erro logo seguida entra conta saber lidar except desenvolvedor júnior consegu não consigo acreditar banco tanta grana não invista minimament desenvolvedor pro aplicativo pessima experiência sempr frustro usar app outra crítica é design app é app banco fórum dua hora usando figma consigo criar usabilidad melhor espero realment alguém trabalho aplicativo leia review tent mudar coisa sugestão é criar aplicativo zero porqu tanto bug assim nem refatoracao salva nota porqu não dar"
