"id","company","store","content","at","score","sentimento","usedText"
67756,"itau","google","Não sei como conseguem piorar ainda mais um app que já era tão ruim. Depois dessa atualização o acesso com biometria simplesmente não funciona mais. E não, não é problema de cache, pois já fiz todos os procedimentos de otimização, incluindo a reinstalação do app. Pra conseguir entrar no app é uma eternidade, de tão lento e pesado que ele é. E esse layout com essa tela inicial ficou horrível, simplesmente adicionaram mais passos ao processo de login, que deveria ser mais intuitivo e direto.",2023-12-31 01:21:52,1,"0","não sei conseguem piorar ainda app tão ruim dessa atualização acesso biometria simplesment não funciona não não é problema cach poi fiz todo procedimento otimização incluindo reinstalação app pra conseguir entrar app é eternidad tão lento pesado é layout tela inici ficou horrível simplesment adicionaram passo processo login deveria ser intuitivo direto"
67757,"itau","google","A nova atualização do app é uma droga! Além da cor ser horrível, está impossível de visualizar os dados do receber no processo de pagamento de contas dentro do app. Ao tentar visualizar os dados do receber quando preciso pagar uma conta, seja por código de barras ou via Pix, aparece uma tela totalmente em branco, onde não dá pra ver nada! Nenhum dado se quer. E não há opção no app pra tentar mudar as cores das telas e nem nada. Ridículo!",2023-12-29 17:19:35,1,"0","nova atualização app é droga além cor ser horrível impossível visualizar dado receb processo pagamento conta dentro app tentar visualizar dado receb preciso pagar conta código barra via pix aparec tela totalment branco ond não dá pra ver nada nenhum dado quer não opção app pra tentar mudar core tela nem nada ridículo"
67758,"itau","google","Está atualização está horrível, aplicativo ficou feio demais, fora que ficou muito bagunçado, parte de menu, ficou um visual, sem indentidade, eu sei que o Itaú tentou passar uma proposta diferente com essa mudança, mas no aplicativo ficou algo cru demais, visualmente, parece até com outro banco o Inter, acho que fizeram essa mudança mais para o Inter do que o próprio Itaú.",2023-12-31 09:17:20,1,"0","atualização horrível aplicativo ficou feio demai ficou bagunçado part menu ficou visual indentidad sei itaú tentou passar proposta diferent mudança aplicativo ficou algo cru demai visualment parec outro banco inter acho fizeram mudança inter próprio itaú"
67759,"itau","google","Pior a cada atualização. Deveriam investir parte do dinheiro de propaganda em melhorias do app. Virou uma bagunça visual, muito poluído. Encontrar uma informação é quase uma jornada. Muita informação repetida, menus desnecessários e esse particionamento da tela inicial foi a gota d'água. Não tem lógica nem facilita a navegação. Navegar no app é como pedir um pão na padaria e ouvir o padeiro te contar a história da panificação. E no menu do cartão de crédito, o Santander dá de dez a zero.",2023-12-25 13:20:11,1,"0","pior cada atualização deveriam investir part dinheiro propaganda melhoria app virou bagunça visual poluído encontrar informação é quas jornada muita informação repetida menus desnecessário particionamento tela inici gota dágua não lógica nem facilita navegação navegar app é pedir pão padaria ouvir padeiro contar história panificação menu cartão crédito santand dá dez zero"
67760,"itau","google","Essa nova versão do app está um lixo. Conseguiram um feito incrível: piorar o que já era ruim. App pesado, lento, apresenta erros contantes, e depois desta mudança de layout, só consigo acessar meu extrato se abrir no chrome a versão para computador. Se fosse possível daria menos 5 estrelas. Se existe algo pior que lixo, esta é a definição do app após a última atualização. Parabéns aos envolvidos!!! (Irony on)",2023-12-16 17:16:13,1,"0","nova versão app lixo conseguiram feito incrível piorar ruim app pesado lento apresenta erro contant desta mudança layout consigo acessar extrato abrir chrome versão computador possível daria meno estrela exist algo pior lixo é definição app apó última atualização parabén envolvido ironi on"
67761,"itau","google","Durante um tempo o app era ótimo, super rápido para transações e outras opções, porém depois da última atualização o aplicativo tá super lento, é necessário uma espera maior e por muitas vezes o aplicativo para. Não é falta de armazenamento nem memória cache, até pq tenho outros bancos e funcionam perfeitamente. Infelizmente nessa atualização deixou a desejar.",2023-12-25 01:58:28,1,"0","durant tempo app ótimo super rápido transaçõ outra opçõ porém última atualização aplicativo tá super lento é necessário espera maior muita veze aplicativo não é falta armazenamento nem memória cach pq outro banco funcionam perfeitament infelizment nessa atualização deixou desejar"
67762,"itau","google","Editado: Eu já havia limpado cachê, apaguei os dados, desinstalei e nada. Realmente estava horrível. Depois de umas três atualizações com problemas, nessa última que teve parece que deu uma melhorada boa, o código de barras voltou e outras funções estão funcionando corretamente. Apesar de achar o visual anterior melhor, ao menos estar com as funções em funcionamento já é muito bom.",2023-12-04 19:41:10,4,"0","editado havia limpado cachê apaguei dado desinstalei nada realment horrível uma três atualizaçõ problema nessa última parec deu melhorada boa código barra voltou outra funçõ funcionando corretament apesar achar visual anterior melhor meno estar funçõ funcionamento é bom"
67763,"itau","google","Não entendi essa última atualização, agora para cada processo que desejamos fazer no menu inicial temos que inserir a senha, e somos redirecionados a tela desejada e consequentemente temos acesso a todas as opções, não seria mais fácil manter o que estava? somente inserir a senha uma vez e ter acesso ao aplicativo completamente. Agora, se foi algo relacionado a segurança, faz sentido. Mas se for relacionado a UX não ficou muito bom.",2023-12-19 15:45:18,2,"0","não entendi última atualização agora cada processo desejamo fazer menu inici inserir senha redirecionado tela desejada consequentement acesso toda opçõ não fácil manter soment inserir senha vez ter acesso aplicativo completament agora algo relacionado segurança faz sentido relacionado ux não ficou bom"
67764,"itau","google","Troquei de aparelho de celular pensando que era por isso que o aplicativo nao funcionava bem. Mas mesmo assim ele trava e só fica recarregando. Esta horrível. Não poder acessar sua conta na hora que quer. Já limpei cache. Já reiniciei o telefone. Ele melhora mas daqui a pouco fica ruim novamente. Antes o aplicativo funcionava bem mas agora com esse novo modelo piorou e muito.",2023-12-21 11:52:50,2,"0","troquei aparelho celular pensando aplicativo nao funcionava bem assim trava fica recarregando horrível não poder acessar conta hora quer limpei cach reiniciei telefon melhora daqui pouco fica ruim novament ant aplicativo funcionava bem agora novo modelo piorou"
67765,"itau","google","O novo visual do aplicativo do Itaú ficou limpo, muito bom. O maior problema do aplicativo ainda é a lentidão, tanto para abrir, carregar contudo e executar ações! E ainda tem o problema de funcionar em 2 plano, o app demora retorna, as vezes para de responder quando retorna e tem alto consumo de bateria! Espero que melhore! Do jeito que está não recomendo a ninguém!! Obs limpar o cachê não resolve e ligar para número indicado é incrivelmente demorado, deveria ter uma maneira mais fácil !!",2023-11-30 09:39:59,1,"0","novo visual aplicativo itaú ficou limpo bom maior problema aplicativo ainda é lentidão tanto abrir carregar contudo executar açõ ainda problema funcionar plano app demora retorna veze respond retorna alto consumo bateria espero melhor jeito não recomendo ninguém ob limpar cachê não resolv ligar número indicado é incrivelment demorado deveria ter maneira fácil"
