"id","company","store","content","at","score","sentimento","usedText"
39556,"nubank","apple","Uso o beta do iOS 17 e o App ficou travado. O teclado do aparelho sobrepõe a seta para continuar no app, sendo assim não consigo fazer nenhuma transação. Aguardo correção urgente para continuar o uso do App!!!",2023-07-06 13:35:05,1,"0","uso beta io app ficou travado teclado aparelho sobrepõ seta continuar app sendo assim não consigo fazer nenhuma transação aguardo correção urgent continuar uso app"
39557,"nubank","apple","No IOS 17 o teclado fica sobre a tela e nao tem o ok nele.  Ai vc não consegue entrar na conta ir para frente em nada.",2023-07-07 15:33:02,1,"0","io teclado fica sobr tela nao ok nele ai vc não consegu entrar conta ir frent nada"
39558,"nubank","apple","Pra quem é desenvolvedor IOS, o Nu não funciona, não dá acesso ao login depois de colocar o cpf, a setinha indicando continuidade não aparece, o pix fica travado, embora em outros bancos “funcionem”.  Um aviso aparece “você não pode opinar por estar usando uma versão de pré lançamento”.
Tive de usar outro cel.",2023-07-08 12:35:40,3,"0","pra é desenvolvedor io nu não funciona não dá acesso login colocar cpf setinha indicando continuidad não aparec pix fica travado embora outro banco “funcionem” aviso aparec “ não pode opinar estar usando versão pré lançamento” usar outro cel"
39559,"nubank","apple","O aplicativo não abre mais depois da última atualização. O problema é o mesmo de 2 semanas atrás. É inútil tentar pedir solução ou providências através de contato por email. Nubank está me cansando viu. Como ficam as contas que irão vencer? E o acesso ao Pix? Resolvam logo esse problema por favor.",2023-10-30 21:18:21,1,"0","aplicativo não abr última atualização problema é semana atrá é inútil tentar pedir solução providência atravé contato email nubank cansando viu ficam conta irão vencer acesso pix resolvam logo problema favor"
39560,"nubank","apple","Estou sem conseguir acessar minha conta ha mais de 1 semana, tudo isso devido a algum ‘crash’ (falha) que ainda não foi corrigida pelos desenvolvedores do app!",2023-10-30 17:24:55,1,"0","conseguir acessar conta ha semana tudo devido algum ‘crash’ falha ainda não corrigida desenvolvedor app"
39561,"nubank","apple","Segunda atualização em menos de duas semanas que simplesmente impede que o aplicativo abra. Poxa Nubank!!",2023-10-30 13:44:35,1,"0","segunda atualização meno dua semana simplesment imped aplicativo abra poxa nubank"
39562,"nubank","apple","Boa tarde, 
Não estou conseguindo abrir o aplicativo no iPhone 6 a partir das últimas atualizações. Gostaria de orientação de como posso resolver e/ou acessar o aplicativo. Grata .
Jozy",2023-11-01 15:13:52,5,"0","boa tard não conseguindo abrir aplicativo iphon partir última atualizaçõ gostaria orientação posso resolv eou acessar aplicativo grata jozi"
39563,"nubank","apple","novamente o mesmo problema de antes, quando tento entrar no app, ele volta pra tela inicial, difícil de continuar com a nubank desse jeito!",2023-11-02 05:18:05,1,"0","novament problema ant tento entrar app volta pra tela inici difícil continuar nubank dess jeito"
39564,"nubank","apple","Meu app não quer abri no meu iPhone 6 😩",2023-11-02 00:07:38,3,"2","app não quer abri iphon 😩"
39565,"nubank","apple","Meu aplicativo não abre depois da atualização",2023-11-01 22:00:59,1,"2","aplicativo não abr atualização"
39566,"nubank","apple","Já não abre mais no iPhone 6. Na nucomunnity há vários relatos de pessoas com iPhone que não estão conseguindo abrir o app, pediram ajuda através do SAC e tiveram que ouvir que o melhor é comprar outro celular. Falta de respeito com quem confiou os dados e os saldos.",2023-11-01 17:35:36,3,"0","não abr iphon nucomunn vário relato pessoa iphon não conseguindo abrir app pediram ajuda atravé sac ouvir melhor é comprar outro celular falta respeito confiou dado saldo"
