"id","company","store","content","at","score","sentimento","usedText"
50711,"nubank","google","O app está com um bug, quando vou no extrato do cartão de crédito, e clicou na compra, e depois clicou em editar o nome da compra, o cursor fica indo pra frente, ao invés de ficar parado para fazer a digitação, peço por gentileza que corrijam isso. Praticidade, facilidade e sem estresse, é um ótimo banco digital, que busca sempre a melhor experiência pro cliente, recomendo!",2023-12-26 11:49:16,4,"0","app bug vou extrato cartão crédito clicou compra clicou editar nome compra cursor fica indo pra frent invé ficar parado fazer digitação peço gentileza corrijam praticidad facilidad estress é ótimo banco digit busca sempr melhor experiência pro client recomendo"
50712,"nubank","google","O app em si é muito bom, rápido e organizado, mas já tem meses que fica aparecendo uma mensagem irritante na parte inferior escrito ""ocorreu um erro"". Mesmo que eu não esteja tentando utilizar nenhuma função, essa mensagem aparece e some várias vezes, e atrapalha demais a experiência! E mais uma coisa, a evolução do limite de crédito é péssima, estou a mais de 2 anos utilizando o app para tudo, movimentações, pagamentos todos em dia, e só dps de 2 anos que aumentaram meu limite!",2023-11-20 12:39:56,3,"0","app si é bom rápido organizado mese fica aparecendo mensagem irritant part inferior escrito ocorreu erro não tentando utilizar nenhuma função mensagem aparec some vária veze atrapalha demai experiência coisa evolução limit crédito é péssima ano utilizando app tudo movimentaçõ pagamento todo dia dps ano aumentaram limit"
50713,"nubank","google","Excelente uma interface boa, fácil acesso,sem travamento. No início tive problemas principalmente por não ter um limite bom acessível, mais depois de alguns meses o limite melhorou , e a função de um limite para boletos e Pix , me ajuda muito em momentos de precisão. Ainda espero por limite de crédito melhor para não ter q usar dois cartões. Mais estou satisfeita por hora .",2023-11-21 09:29:30,5,"2","excelent interfac boa fácil acessosem travamento início problema principalment não ter limit bom acessível algun mese limit melhorou função limit boleto pix ajuda momento precisão ainda espero limit crédito melhor não ter q usar doi cartõ satisfeita hora"
50714,"nubank","google","Gosto do aplicativo, principalmente pelo fato de ser bastante intuitivo e organizado. O atendimento pelo chat também merece elogios. A única coisa que, para mim, deixa muito a desejar é o formato do extrato. O fato de não ter o saldo após cada transação, mesmo no arquivo detalhado que pode ser requisitado em PDF, não é bom. Inclusive deixo como sugestão repensar esse quesito.",2023-11-16 14:53:39,4,"2","gosto aplicativo principalment fato ser bastant intuitivo organizado atendimento chat merec elogio única coisa mim deixa desejar é formato extrato fato não ter saldo apó cada transação arquivo detalhado pode ser requisitado pdf não é bom inclus deixo sugestão repensar quesito"
50715,"nubank","google","o app deveria ser melhor otimizado para funcionar em conexões de internet mais ruins. em alguns lugares da minha cidade meus dados moveis ficam mais lentos e ai é quase impossível usar o nubank, o que me faz esperar quase 10 minutos, no caixa do mercado, por exemplo, pra pagar algo. isso é bem ruim. por ser um app simples, deveria funcionar melhor, mesmo em conexões mais fracas. o fato do app não permitir que você faça a mesma transferência em sequência também atrapalha bastante.",2023-12-17 08:25:22,1,"0","app deveria ser melhor otimizado funcionar conexõ internet ruin algun lugar cidad dado movei ficam lento ai é quas impossível usar nubank faz esperar quas minuto caixa mercado exemplo pra pagar algo é bem ruim ser app simpl deveria funcionar melhor conexõ fraca fato app não permitir faça mesma transferência sequência atrapalha bastant"
50716,"nubank","google","Tenho a conta da Nubank desde de 2020 e para mim sempre foi um ótimo app e descomplicado. Mas devido a muitas atualizações a interface do app, possui agora diversas dificuldades que deixaram a desejar. Algo que ocorreu foi o fato de o app não permitir mais tirar print de tela, não sei qual o motivo de tirarem essa opção, além de que eu não consigo trocar a senha do meu cartão e diversas vezes dá erro de transferência Pix e a dificuldade em aumentar o limite!",2023-11-10 03:56:39,2,"0","conta nubank desd mim sempr ótimo app descomplicado devido muita atualizaçõ interfac app possui agora diversa dificuldad deixaram desejar algo ocorreu fato app não permitir tirar print tela não sei motivo tirarem opção além não consigo trocar senha cartão diversa veze dá erro transferência pix dificuldad aumentar limit"
50717,"nubank","google","Não sei se foi apenas comigo... Mas passei muita vergonha nos últimos meses. Cartão negado tendo saldo, etc... Agora falando de UX, ficou péssima a navegação em relação a mostrar o saldo, até concordo em ter a opção de ocultar... Mas quando a pessoa opta por mostrar o saldo, não há necessidade de abrir uma nova página. Pra quem tá num lugar com internet lenta isso é péssimo. Estou apenas aguardando não ter pendência nenhuma com o Nubank para não precisar utilizar mais.",2023-12-22 15:22:33,1,"0","não sei apena comigo passei muita vergonha último mese cartão negado tendo saldo etc agora falando ux ficou péssima navegação relação mostrar saldo concordo ter opção ocultar pessoa opta mostrar saldo não necessidad abrir nova página pra tá lugar internet lenta é péssimo apena aguardando não ter pendência nenhuma nubank não precisar utilizar"
50718,"nubank","google","Para mim é o melhor Banco digital! Mas infelizmente não se pode elogiar. Vim antes aqui para dar as 5 estrelas mas estou tirando novamente. O Nubank simplesmente voltou a limitar a captura de tela, o que não faz sentido nenhum!! Pois se alguém quiser essa informação, é só tirar foto da tela. Ou seja, sem lógica, e nos dificulta em muitas coisas! Um absurdo não deixar a função de captura de tela. Só voltarei a dar 5 estrelas se essa funcionalidade voltar.",2023-11-30 15:44:41,3,"0","mim é melhor banco digit infelizment não pode elogiar vim ant aqui dar estrela tirando novament nubank simplesment voltou limitar captura tela não faz sentido nenhum poi alguém quiser informação é tirar foto tela lógica dificulta muita coisa absurdo não deixar função captura tela voltarei dar estrela funcionalidad voltar"
50719,"nubank","google","Troquei de celular e simplesmente o app parou de me notificar. Não é problema com o aparelho, pois já configurei para receber notificação e recebo de outros bancos. Além de que vi o relato de várias pessoas falando sobre o mesmo em aparelhos diferentes. Está com algum bug e é péssimo ter que entrar no app pra ficar verificando se recebeu algo.",2023-11-02 10:02:34,2,"0","troquei celular simplesment app parou notificar não é problema aparelho poi configurei receb notificação recebo outro banco além vi relato vária pessoa falando sobr aparelho diferent algum bug é péssimo ter entrar app pra ficar verificando recebeu algo"
50720,"nubank","google","Sempre gostei muito do banco, e o app sempre me atendeu muito bem. Porém depois da atualização de impossibilitar a gente de tirar print achei ridículo. Isso prejudica muito a gente em diversas situações do dia a dia, e até para trazer nosso pagamento para o nubank se vai ter mais dificuldade, sem a função de screenchot, fora que se for para algum terceiro pegar qualquer tipo de informação é só tirar foto da tela, ou seja isso não muda nada.",2023-10-28 18:39:43,1,"0","sempr gostei banco app sempr atendeu bem porém atualização impossibilitar gent tirar print achei ridículo prejudica gent diversa situaçõ dia dia trazer pagamento nubank vai ter dificuldad função screenchot algum terceiro pegar qualquer tipo informação é tirar foto tela não muda nada"
